,s1_open,s2_open
744,7.702,11.529
745,8.302,11.326
746,8.253,10.728
747,8.401,10.866
748,8.36,10.277
749,8.146,10.277
750,7.866,10.359
751,7.875,10.231
752,7.62,10.461
753,7.504,10.866
754,7.529,10.774
755,7.735,9.853
756,7.537,10.046
757,7.076,9.807
758,7.159,9.853
759,7.076,9.798
760,7.15,9.687
761,7.076,9.908
762,7.044,9.669
763,7.035,9.678
764,6.879,9.724
765,6.895,9.669
766,6.978,9.678
767,6.871,10.092
768,6.879,10.056
769,7.109,10.037
770,7.06,9.945
771,7.027,9.798
772,7.035,9.669
773,6.92,9.374
774,6.838,9.218
775,6.673,9.227
776,6.583,9.466
777,6.69,9.208
778,6.788,9.254
779,6.665,9.402
780,6.747,9.577
781,6.797,9.328
782,6.805,9.282
783,6.731,9.006
784,6.254,9.199
785,6.221,9.052
786,6.254,9.116
787,6.171,9.65
788,6.18,9.586
789,6.377,9.218
790,6.459,9.328
791,6.319,9.135
792,6.336,8.978
793,6.402,8.628
794,6.171,8.702
795,6.105,8.739
796,6.081,8.794
797,6.122,8.978
798,6.048,8.748
799,6.155,8.831
800,6.081,8.739
801,6.114,8.518
802,6.04,8.38
803,6.023,8.509
804,5.941,8.776
805,5.999,8.941
806,6.13,8.997
807,6.147,8.895
808,6.171,8.757
809,6.073,8.674
810,6.007,8.591
811,5.883,8.711
812,5.818,8.564
813,5.834,8.647
814,5.801,8.499
815,5.834,8.545
816,5.76,8.426
817,5.76,8.288
818,5.908,8.324
819,5.76,8.021
820,5.562,7.671
821,5.53,7.652
822,5.439,7.551
823,5.283,7.496
824,5.135,7.44
825,4.896,7.164
826,4.698,7.137
827,4.386,6.796
828,4.394,6.962
829,4.443,6.943
830,4.353,6.86
831,4.468,6.86
832,4.41,6.833
833,4.345,6.676
834,4.213,6.446
835,4.32,6.593
836,4.246,6.446
837,4.122,6.262
838,4.09,6.271
839,4.213,6.593
840,4.526,6.962
841,4.386,6.704
842,4.435,6.704
843,4.501,6.731
844,4.427,6.593
845,4.378,6.455
846,4.28,6.308
847,4.34,6.427
848,4.503,6.538
849,4.417,6.51
850,4.366,6.4
851,4.357,6.4
852,4.289,6.354
853,4.383,6.4
854,4.349,6.372
855,4.469,6.529
856,4.426,6.464
857,4.469,6.529
858,4.503,6.584
859,4.486,6.51
860,4.486,6.492
861,4.494,6.584
862,4.674,6.888
863,4.751,6.989
864,4.674,6.851
865,4.614,6.796
866,4.529,6.777
867,4.588,6.87
868,4.537,6.823
869,4.511,6.882
870,4.52,6.796
871,4.443,6.748
872,4.529,6.882
873,4.503,6.872
874,4.58,6.958
875,4.537,6.853
876,4.588,6.91
877,4.837,7.13
878,4.888,7.225
879,4.82,7.168
880,4.751,7.044
881,4.794,7.13
882,4.965,7.292
883,5.085,7.53
884,5.462,8.388
885,5.282,7.921
886,5.239,7.74
887,5.222,7.692
888,4.974,7.358
889,5.025,7.416
890,5.076,7.53
891,4.965,7.387
892,4.871,7.339
893,4.76,7.072
894,4.82,7.139
895,4.82,7.158
896,4.905,7.234
897,4.888,7.215
898,4.837,7.101
899,4.922,7.234
900,5.042,7.396
901,5.111,7.482
902,4.982,7.244
903,4.914,7.149
904,4.905,7.196
905,4.948,7.187
906,4.914,7.206
907,4.76,7.053
908,4.614,6.872
909,5.119,6.796
910,4.965,6.825
911,4.794,6.767
912,4.948,6.815
913,4.922,6.748
914,4.897,6.767
915,4.82,6.739
916,4.777,6.691
917,4.725,6.701
918,4.82,6.691
919,4.76,6.672
920,4.743,6.644
921,4.768,6.701
922,4.64,6.596
923,4.674,6.605
924,4.734,6.739
925,4.914,6.987
926,4.957,6.929
927,4.931,6.872
928,4.888,6.815
929,4.845,6.796
930,4.837,6.815
931,4.811,6.72
932,4.82,6.758
933,4.948,6.882
934,4.862,6.767
935,4.785,6.682
936,4.905,6.872
937,5.128,7.044
938,5.076,7.006
939,5.085,7.034
940,5.051,6.977
941,4.974,6.863
942,4.888,6.777
943,4.862,6.748
944,4.914,6.796
945,4.82,6.71
946,4.777,6.624
947,4.785,6.539
948,4.751,6.491
949,4.64,6.053
950,4.606,6.129
951,4.606,6.081
952,4.674,6.129
953,4.606,6.043
954,4.751,6.1
955,4.64,6.053
956,4.64,6.11
957,4.597,6.043
958,4.563,5.986
959,4.4,5.767
960,4.426,5.767
961,4.417,5.728
962,4.34,5.671
963,4.34,5.5
964,4.323,5.528
965,4.366,5.557
966,4.357,5.509
967,4.34,5.595
968,4.297,5.49
969,4.306,5.471
970,4.315,5.528
971,4.417,5.728
972,4.366,5.643
973,4.374,5.681
974,4.374,5.681
975,4.4,5.681
976,4.383,5.69
977,4.306,5.643
978,4.349,5.633
979,4.426,5.767
980,4.486,5.948
981,4.452,5.9
982,4.426,5.805
983,4.486,5.881
984,4.477,5.881
985,4.4,5.748
986,4.452,5.824
987,4.452,5.805
988,4.366,5.652
989,4.297,5.547
990,4.22,5.433
991,4.238,5.5
992,4.212,5.443
993,4.263,5.452
994,4.255,5.481
995,4.306,5.547
996,4.28,5.481
997,4.297,5.509
998,4.238,5.433
999,4.109,5.252
1000,4.118,5.29
1001,4.126,5.319
1002,4.238,5.509
1003,4.212,5.433
1004,4.238,5.509
1005,4.186,5.414
1006,4.178,5.357
1007,4.118,5.252
1008,4.229,5.443
1009,4.246,5.481
1010,4.28,5.49
1011,4.246,5.452
1012,4.212,5.366
1013,4.203,5.347
1014,4.16,5.309
1015,4.186,5.404
1016,4.272,5.509
1017,4.212,5.404
1018,4.229,5.443
1019,4.315,5.528
1020,4.306,5.509
1021,4.349,5.624
1022,4.297,5.528
1023,4.28,5.5
1024,4.212,5.443
1025,4.246,5.462
1026,4.212,5.395
1027,4.195,5.357
1028,4.178,5.328
1029,4.16,5.338
1030,4.143,5.338
1031,4.169,5.3
1032,4.126,5.195
1033,3.964,5.023
1034,3.929,5.033
1035,3.878,4.985
1036,3.887,5.033
1037,3.887,5.023
1038,3.844,4.956
1039,3.861,4.995
1040,3.921,5.033
1041,4.015,5.195
1042,3.972,5.071
1043,3.964,5.09
1044,3.912,5.004
1045,3.938,5.099
1046,3.921,5.033
1047,3.904,5.004
1048,3.912,5.052
1049,3.895,5.023
1050,3.921,5.09
1051,3.938,5.042
1052,3.895,5.004
1053,3.921,5.033
1054,3.878,4.956
1055,3.878,4.985
1056,3.878,4.947
1057,3.844,4.88
1058,3.852,4.918
1059,3.827,4.88
1060,3.818,4.842
1061,3.844,4.918
1062,3.827,4.871
1063,3.861,4.89
1064,3.895,4.918
1065,3.895,4.918
1066,3.852,4.89
1067,3.827,4.842
1068,3.75,4.747
1069,3.784,4.756
1070,3.767,4.728
1071,3.775,4.756
1072,3.758,4.718
1073,3.784,4.747
1074,3.801,4.775
1075,3.792,4.804
1076,3.784,4.794
1077,3.809,4.833
1078,3.827,4.861
1079,3.801,4.833
1080,3.784,4.804
1081,3.801,4.794
1082,3.758,4.737
1083,3.758,4.747
1084,3.767,4.785
1085,3.801,4.852
1086,3.818,4.947
1087,3.827,4.985
1088,3.809,5.014
1089,3.818,4.975
1090,3.818,4.956
1091,3.835,4.975
1092,3.869,5.08
1093,3.912,5.147
1094,3.972,5.195
1095,4.041,5.357
1096,3.998,5.309
1097,4.006,5.338
1098,4.032,5.366
1099,4.023,5.357
1100,4.066,5.557
1101,4.135,5.681
1102,4.212,5.625
1103,4.178,5.518
1104,4.116,5.547
1105,4.143,5.508
1106,4.125,5.488
1107,4.134,5.44
1108,4.222,5.498
1109,4.169,5.518
1110,4.205,5.508
1111,4.275,5.479
1112,4.231,5.42
1113,4.196,5.42
1114,4.143,5.333
1115,4.081,5.245
1116,4.055,5.255
1117,4.063,5.274
1118,4.099,5.352
1119,4.108,5.342
1120,4.134,5.401
1121,4.214,5.449
1122,4.196,5.488
1123,4.249,5.566
1124,4.24,5.527
1125,4.249,5.508
1126,4.328,5.566
1127,4.355,5.693
1128,4.346,5.702
1129,4.231,5.518
1130,4.337,5.625
1131,4.32,5.615
1132,4.284,5.556
1133,4.187,5.42
1134,4.214,5.449
1135,4.302,5.586
1136,4.275,5.595
1137,4.302,5.644
1138,4.32,5.673
1139,4.32,5.702
1140,4.373,5.78
1141,4.355,5.732
1142,4.311,5.663
1143,4.373,5.839
1144,4.311,5.78
1145,4.275,5.722
1146,4.293,5.702
1147,4.328,5.897
1148,4.311,5.868
1149,4.231,5.722
1150,4.187,5.595
1151,4.116,5.479
1152,4.081,5.44
1153,4.081,5.479
1154,4.169,5.566
1155,4.205,5.644
1156,4.267,5.751
1157,4.293,5.839
1158,4.39,5.994
1159,4.655,6.442
1160,4.576,6.199
1161,4.54,6.169
1162,4.47,6.131
1163,4.558,6.238
1164,4.408,6.004
1165,4.461,6.111
1166,4.417,6.101
1167,4.399,6.14
1168,4.434,6.15
1169,4.373,6.024
1170,4.373,5.936
1171,4.399,5.985
1172,4.523,6.218
1173,4.532,6.228
1174,4.585,6.286
1175,4.558,6.277
1176,4.558,6.325
1177,4.576,6.422
1178,4.62,6.481
1179,4.779,6.821
1180,4.841,6.899
1181,5.07,7.59
1182,4.85,7.201
1183,5.459,8.417
1184,5.212,7.941
1185,5.583,8.554
1186,5.486,8.291
1187,5.424,8.057
1188,5.556,8.427
1189,5.592,8.378
1190,5.415,8.203
1191,5.459,8.447
1192,6.325,9.702
1193,5.83,9.244
1194,5.724,8.923
1195,5.6,9.021
1196,6.113,9.984
1197,6.086,9.566
1198,6.254,9.867
1199,6.228,9.712
1200,6.325,9.682
1201,6.298,9.682
1202,6.157,9.478
1203,6.219,9.585
1204,5.98,9.069
1205,5.857,8.826
1206,5.653,8.563
1207,5.671,8.651
1208,5.592,8.476
1209,5.795,8.787
1210,5.459,8.349
1211,5.247,7.785
1212,5.318,7.989
1213,5.477,8.271
1214,5.521,8.437
1215,5.468,8.252
1216,5.547,8.378
1217,5.592,8.456
1218,5.45,8.232
1219,5.441,8.077
1220,5.353,7.785
1221,5.353,7.688
1222,5.415,7.843
1223,5.459,7.882
1224,5.291,7.639
1225,5.15,7.59
1226,5.123,7.688
1227,5.229,7.902
1228,5.282,7.911
1229,5.327,7.97
1230,5.344,7.95
1231,5.38,7.979
1232,5.388,7.989
1233,5.327,7.872
1234,5.556,8.398
1235,5.565,8.349
1236,5.583,8.349
1237,5.468,8.155
1238,5.503,8.135
1239,5.521,8.077
1240,5.468,8.106
1241,5.53,8.262
1242,5.53,8.194
1243,5.494,8.164
1244,5.547,8.213
1245,5.583,8.349
1246,5.671,8.476
1247,5.83,8.768
1248,5.91,8.875
1249,5.98,9.06
1250,5.963,8.991
1251,6.024,9.089
1252,5.91,8.923
1253,6.007,8.923
1254,6.122,9.283
1255,6.166,9.274
1256,6.89,10.763
1257,6.466,9.848
1258,6.599,9.965
1259,6.537,9.828
1260,6.722,10.004
1261,6.846,10.149
1262,6.864,10.169
1263,6.581,9.731
1264,6.669,9.887
1265,6.811,10.237
1266,6.837,10.295
1267,6.51,9.799
1268,6.722,10.373
1269,6.908,10.889
1270,7.146,11.142
1271,7.243,11.181
1272,7.358,11.346
1273,7.19,11.035
1274,7.402,11.045
1275,7.288,10.889
1276,7.023,10.315
1277,7.058,10.14
1278,6.961,10.101
1279,7.049,10.441
1280,6.581,9.848
1281,6.334,9.439
1282,6.351,9.39
1283,6.493,9.78
1284,6.669,9.916
1285,6.731,9.906
1286,6.775,9.877
1287,6.705,9.712
1288,6.652,9.877
1289,6.59,10.101
1290,6.819,10.441
1291,6.793,10.412
1292,7.217,12.261
1293,7.129,12.767
1294,7.447,12.456
1295,7.491,12.358
1296,7.773,12.582
1297,7.773,13.147
1298,8.675,13.01
1299,9.54,12.933
1300,8.913,12.427
1301,9.01,12.281
1302,9.001,12.378
1303,9.072,12.67
1304,8.807,12.534
1305,8.798,12.504
1306,8.931,12.798
1307,9.01,13.579
1308,8.754,12.788
1309,8.268,12.006
1310,8.33,12.192
1311,7.959,11.557
1312,7.385,10.697
1313,7.667,11.068
1314,7.835,11.225
1315,7.508,10.541
1316,7.288,10.062
1317,6.713,8.89
1318,7.137,9.378
1319,6.784,8.675
1320,6.166,7.815
1321,6.139,7.815
1322,5.494,6.936
1323,4.779,5.891
1324,4.761,5.891
1325,5.344,6.79
1326,5.901,7.288
1327,6.104,7.933
1328,5.751,7.522
1329,5.335,7.024
1330,5.459,7.337
1331,5.724,7.806
1332,5.645,7.718
1333,5.777,7.864
1334,5.759,8.05
1335,5.918,8.196
1336,5.6,7.62
1337,5.079,6.77
1338,5.212,7.229
1339,5.362,7.62
1340,5.079,7.219
1341,5.212,7.317
1342,5.609,7.815
1343,5.742,8.069
1344,5.698,8.089
1345,5.742,8.138
1346,5.814,8.314
1347,6.464,8.665
1348,6.579,8.46
1349,6.33,8.255
1350,6.686,8.509
1351,6.579,8.372
1352,6.668,8.411
1353,5.778,7.307
1354,6.045,7.62
1355,5.787,7.18
1356,5.386,6.672
1357,4.532,5.852
1358,4.63,5.813
